t,Equal Weight,Max Sharpe,Min Volatility,Risk Parity
2023-09-07 04:00:00,115614.53407323852,114297.06334967552,103302.69713794488,110772.5308221635
2023-09-08 04:00:00,116160.1326927394,114501.70313623744,103886.14379158428,111364.60697621798
2023-09-11 04:00:00,116900.62044898164,115572.17203641147,103626.4799953732,111633.38235254424
2023-09-12 04:00:00,116615.7263702844,114527.52386507808,103900.44470207932,111638.20921708204
2023-09-13 04:00:00,116897.32330087006,114509.63190437412,103430.46304725486,111550.45855356652
2023-09-14 04:00:00,117722.7547544544,114992.54424068684,103894.81560692238,112278.1880000948
2023-09-15 04:00:00,116259.659939396,114522.99882537308,103353.6076349913,111154.65707768562
2023-09-18 04:00:00,116666.86018441786,115381.68844403398,104185.82943874144,111758.39327661275
2023-09-19 04:00:00,116293.31776985148,115210.25028977002,104018.01322049988,111491.27830200152
2023-09-20 04:00:00,115095.23830547904,114141.4406846284,103422.75169787866,110513.5960611676
2023-09-21 04:00:00,113227.04749101913,112534.21592568238,102008.2834142832,108844.42313057206
2023-09-22 04:00:00,113175.673007751,112758.5822180153,102406.71372541762,108984.91460013074
2023-09-25 04:00:00,113444.94134845192,113115.35649133516,102047.53709241426,109041.01152403494
2023-09-26 04:00:00,111819.72205843349,111026.36413200932,101235.37207341514,107783.32761454007
2023-09-27 04:00:00,112072.4695079694,110151.4170374088,101380.14981830878,108088.42804878406
2023-09-28 04:00:00,112346.6316268006,110064.96278848236,101201.74071980048,108165.82961007096
2023-09-29 04:00:00,111976.02966632658,109688.76620560026,100605.49711083338,107687.3975711448
2023-10-02 04:00:00,112004.32439182787,109968.7591139859,99775.2329558415,107347.04854925866
2023-10-03 04:00:00,110389.57446618532,108812.64195660684,98952.93929894573,106103.3546329992
2023-10-04 04:00:00,110877.69486190664,109429.5319445383,98594.81737370948,106130.95403023584
2023-10-05 04:00:00,110427.43767532,109422.99296161784,98044.89420653477,105608.45090768149
2023-10-06 04:00:00,111365.6934885872,110608.7795362074,97906.89052044794,106055.77614704086
2023-10-09 04:00:00,112645.07037910442,111814.00596813433,99956.96872575638,107703.57495896146
2023-10-10 04:00:00,112782.69646587098,111836.04897717256,99692.1628741996,107662.21229266604
2023-10-11 04:00:00,113319.33068820508,112844.2720560359,99787.50003249786,107890.85561034943
2023-10-12 04:00:00,112864.49638550656,112934.31741773704,99110.39294239068,107357.41027982863
2023-10-13 04:00:00,113339.79751857396,113875.0309048444,100906.25091494858,108364.64461234446
2023-10-16 04:00:00,113802.26305990652,113992.95735604626,100435.656300065,108460.90414016806
2023-10-17 04:00:00,113562.60615800634,113590.46810676178,100340.76279719,108320.91085178114
2023-10-18 04:00:00,112869.89584432825,113471.80289250702,100704.76451111169,108080.95234846188
2023-10-19 04:00:00,112571.604475911,114019.21610621066,100569.7033441198,107819.61061959992
2023-10-20 04:00:00,111232.7457434594,113032.3385885327,100028.1602499412,106770.16189564024
2023-10-23 04:00:00,111218.7471396473,112970.91748453648,99914.6583442647,106677.58465775264
2023-10-24 04:00:00,111735.25083665596,113352.73228766253,100065.86805077236,107011.54003387984
2023-10-25 04:00:00,110577.02598604791,112014.3078769084,99570.76645357512,106151.12842488
2023-10-26 04:00:00,109342.36639089932,110993.14498669015,99132.01374380953,105191.02850958733
2023-10-27 04:00:00,109698.99766518672,112748.15185396404,99125.53052864684,105299.66968889996
2023-10-30 04:00:00,110949.01913309548,113691.7221910517,99246.34977747826,106078.36248583064
2023-10-31 04:00:00,111196.69618041324,113655.92538002404,99024.89671368952,106144.79442250832
2023-11-01 04:00:00,112578.87325853566,114759.30147241196,99825.60078195858,107273.52953159114
2023-11-02 04:00:00,114441.46187833224,116008.14475003612,101674.2515779441,109208.72332085518
2023-11-03 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
2023-11-06 04:00:00,114971.59679772632,116154.79238627836,101626.1982277573,109453.35030266047
