final_value,Method
305617.10342713114,historical
377182.9638575271,historical
280582.9923097892,historical
284823.4045876766,historical
220802.9023869866,historical
395706.40816502937,historical
369679.4913259842,historical
528920.6364198957,historical
317925.49689478264,historical
321515.6247659428,historical
313480.34433526656,historical
449631.67495406495,historical
297926.1357237213,historical
260106.7228905308,historical
262629.1533548903,historical
233579.3997557308,historical
243479.4131763888,historical
305207.08775986603,historical
355513.0836079909,historical
240532.1248276866,historical
461455.6896435785,historical
260752.29257198688,historical
488036.9807902692,historical
456639.5536465666,historical
207738.67841646253,historical
160883.61624655273,historical
228553.02381200437,historical
403973.0804721957,historical
209299.4239083012,historical
295335.4101449151,historical
394316.3620593334,historical
428926.7585138953,historical
245705.6777535145,historical
315340.53171785286,historical
319950.94841742946,historical
372320.9803902885,historical
409453.3496451292,historical
518398.24219777854,historical
421952.4767062581,historical
342864.78751801135,historical
168692.07207835303,historical
289371.4898470048,historical
281629.47164094425,historical
291889.785837196,historical
526633.8646419798,historical
196971.9184678059,historical
333175.84040436905,historical
276875.9833126037,historical
375737.92953335214,historical
396939.5936909604,historical
295265.6358377775,historical
382802.62868497474,historical
398567.3525855491,historical
378588.0619316667,historical
245136.2173233938,historical
627030.8913536282,historical
323668.374474332,historical
429094.3116380508,historical
310889.83845097665,historical
320461.911925444,historical
424047.6438079295,historical
242291.95631782064,historical
453277.2025680497,historical
251830.9021367279,historical
276636.99078475125,historical
270051.45686874015,historical
292458.0676304313,historical
308841.32363459375,historical
288980.4626607436,historical
214771.02264179723,historical
226301.70117251383,historical
291173.0874322847,historical
322788.1420047507,historical
254447.32179137573,historical
555451.3821631726,historical
263113.73954395193,historical
397094.0725618777,historical
392544.548688684,historical
270958.1338468261,historical
432313.28692438407,historical
237374.8456202988,historical
212272.93739704276,historical
179533.31324125564,historical
279242.81893658306,historical
206630.74378306803,historical
253963.22146222187,historical
449796.7801019914,historical
357252.4928590901,historical
270688.047372425,historical
329499.95123340783,historical
346681.5659201356,historical
230202.114788488,historical
270913.85572364257,historical
209049.95013967535,historical
277338.12591564766,historical
302016.6052732936,historical
305690.60929152474,historical
202479.31198138703,historical
180922.2772240068,historical
389923.7639406097,historical
393916.6359904687,historical
354307.73599043133,historical
321764.111066282,historical
363965.9008431842,historical
323311.6752667769,historical
422427.89503511554,historical
350529.72342307307,historical
184682.1280232144,historical
376876.6343776004,historical
357906.78912291786,historical
390371.12001901696,historical
287470.7872734765,historical
293276.50854280166,historical
397132.8239129257,historical
444291.6678295969,historical
412470.9062145135,historical
246954.3499575813,historical
267339.74182234955,historical
337273.0852289712,historical
307189.78822484886,historical
172966.68231231763,historical
278673.86024270573,historical
280706.74114676454,historical
268462.3718388801,historical
289218.4628871123,historical
366841.150317756,historical
251950.1295443158,historical
271883.83842782164,historical
342008.31982344034,historical
231303.05017963337,historical
494240.0256602712,historical
420645.5503478134,historical
357134.1416904418,historical
252667.2569438915,historical
494148.561859476,historical
285680.6594687909,historical
284660.8902959551,historical
328460.2611124538,historical
187031.77949159485,historical
375037.8212083391,historical
369538.09646602295,historical
312129.5161820713,historical
280791.547316165,historical
290241.2285470639,historical
318966.0532784148,historical
339802.1334513097,historical
256779.0068704579,historical
410521.43554626266,historical
224228.8202116184,historical
203748.4977742673,historical
298964.3021191567,historical
298606.21607135667,historical
277633.46084063064,historical
282998.3089172476,historical
368185.421702809,historical
312147.6010447727,historical
303469.7775263492,historical
237113.3648491932,historical
313648.297270832,historical
274412.7545277003,historical
550503.9517170977,historical
290379.1757578194,historical
280413.3431107712,historical
228404.0360848553,historical
327430.943070847,historical
266168.26723070146,historical
255957.230275861,historical
319056.3113984553,historical
278545.69275465055,historical
311131.5937882344,historical
343201.8560681268,historical
248665.92137477937,historical
317865.58815976995,historical
370533.8495986707,historical
274975.8335323935,historical
338126.5590968993,historical
265506.62617792835,historical
329758.0270275269,historical
441274.779689451,historical
400855.1199314474,historical
363028.01970524254,historical
367200.3019767109,historical
298047.74600771366,historical
288586.1042362499,historical
303047.1559846976,historical
298997.256961031,historical
371872.6479442842,historical
381981.8649845963,historical
555110.2357736441,historical
378086.413923545,historical
190907.2669612429,historical
498342.888988802,historical
245860.67285372267,historical
188257.59506658555,historical
471796.0544752108,historical
226828.6770490572,historical
517556.52805901866,historical
203291.9823317725,historical
230384.48531258837,historical
438089.3811622103,historical
311622.6776761701,historical
221439.20748285388,historical
186670.9473779177,historical
254979.89779089388,historical
300396.4172527606,historical
248868.50358510469,historical
277376.5646065244,historical
380610.5523103587,historical
262997.35442289914,historical
260692.03369394288,historical
187385.48731563907,historical
304446.4388415093,historical
289753.0152437836,historical
282061.4669775386,historical
287270.881160108,historical
344919.1040816154,historical
496431.3528407791,historical
354575.6783828604,historical
350999.9546345036,historical
286721.87749491376,historical
283985.5508280598,historical
437531.6214260424,historical
477071.8261210259,historical
539214.1875184258,historical
330656.4221740902,historical
246221.3195002035,historical
372253.93667267135,historical
242031.30411036592,historical
415363.0901933909,historical
459639.66746646445,historical
289054.5883628816,historical
412899.387458516,historical
381197.6667502407,historical
193955.37787671207,historical
324737.72821270564,historical
394079.95458340313,historical
268753.1870930398,historical
273305.79542854097,historical
279953.57105023146,historical
304774.9943245141,historical
442632.16104091983,historical
263298.3622202574,historical
412275.4867145696,historical
368524.6922696448,historical
283570.35038697574,historical
221097.64341914843,historical
482547.481123678,historical
343874.84701898985,historical
281372.017858482,historical
257193.35619274023,historical
363182.4097097411,historical
378410.7610512548,historical
433141.4110776942,historical
226076.4504513216,historical
255324.37852392,historical
381740.25998875743,historical
273208.6104919637,historical
307870.02692226326,historical
317867.5486428793,historical
293080.2927497106,historical
278782.0921927776,historical
247953.96007353129,historical
398058.39322029,historical
282040.5493743048,historical
238381.93427474375,historical
395216.1330022491,historical
419779.9216165297,historical
551121.7960927815,historical
296852.3046370055,historical
268391.1931983073,historical
301782.33154327434,historical
247841.50561876505,historical
348998.39473188325,historical
265441.4933165692,historical
296924.0090680067,historical
272421.7596966474,historical
418122.96347945306,historical
285616.59831707313,historical
183102.58710734287,historical
469702.3104813399,historical
272751.6415102902,historical
327205.3031868559,historical
350674.63068777893,historical
427718.7651473251,historical
329140.0901826398,historical
259154.7201993334,historical
235228.4954754313,historical
329378.508618558,historical
218547.09335833808,historical
364245.5704083018,historical
389327.22955979407,historical
252929.4405335436,historical
463015.06801182975,historical
155233.66090037173,historical
428712.65016011335,historical
302631.49770046,historical
441753.1381056903,historical
296773.836921856,historical
243915.14754991684,historical
384522.942750076,historical
434293.2437694583,historical
352554.60339736205,historical
473617.2197949288,historical
354189.00875068706,historical
259659.1431585979,historical
355351.76537869027,historical
333485.358150687,historical
289783.84320121526,historical
310471.16943658923,historical
525935.6782572727,historical
256705.88746506296,historical
417485.6522450367,historical
320094.2007272281,historical
265182.0228719887,historical
371362.2561070816,historical
298666.430237592,historical
286651.3007915175,historical
283317.66881265125,historical
243685.2525982104,historical
267413.96523282066,historical
431239.3881000959,historical
327058.5844958429,historical
253642.3839231395,historical
255388.12021418865,historical
536875.2541804832,historical
213139.21339115108,historical
396746.0580173648,historical
297031.19405287714,historical
381173.8346122298,historical
393278.7033133487,historical
383097.1614648315,historical
347921.7574664977,historical
434478.2660898883,historical
336285.5759395829,historical
552944.5658523039,historical
173923.79245736627,historical
511876.6937603672,historical
206004.474292005,historical
390265.52480617707,historical
262117.3414689841,historical
337484.9176456836,historical
352227.761755981,historical
297183.5079822383,historical
317276.4003921224,historical
385788.09353765554,historical
385041.7661176932,historical
315527.6633633067,historical
294772.0631313867,historical
270863.7017130006,historical
381611.6472564791,historical
258516.48625551205,historical
351936.4593299869,historical
261499.55275307293,historical
275969.3800020918,historical
318700.6144274374,historical
374402.4564934845,historical
415811.06997864303,historical
277996.38066645974,historical
240447.65418067056,historical
300009.62610036647,historical
523013.0902263701,historical
222992.3114872501,historical
250548.30428875436,historical
243269.22183614105,historical
314286.9074295446,historical
285406.4971394899,historical
260845.85501865693,historical
316973.2002396093,historical
516907.7672944185,historical
294478.851803028,historical
300633.62610916625,historical
401015.4027345547,historical
241194.2192133961,historical
208810.1067802688,historical
404380.3630544834,historical
261958.08594286963,historical
257068.1191540392,historical
352352.064739762,historical
492326.2399877976,historical
259214.48306665287,historical
414640.5156646651,historical
422060.7306715279,historical
270393.87769778725,historical
234727.72153920663,historical
193799.3671566509,historical
389071.1650539608,historical
239453.06260337212,historical
453799.8076311001,historical
354994.3804310656,historical
406886.4305465309,historical
320215.4280826076,historical
276618.2422579794,historical
389687.9544454237,historical
343621.9699640915,historical
272299.2796514412,historical
409479.817510727,historical
271402.50815114245,historical
329566.25530760793,historical
352564.3972971984,historical
266351.3359826872,historical
365122.67750031385,historical
276494.8050947504,historical
415629.8551820997,historical
331039.13660060137,historical
380225.056545081,historical
391945.9739567193,historical
299602.48631380784,historical
298984.40995477966,historical
298199.76968047064,historical
336700.7897771221,historical
340759.76711377106,historical
407143.3302499855,historical
307157.1804705225,historical
366060.7039958866,historical
208934.00490534565,historical
273244.135278052,historical
314311.70531710365,historical
343037.70333079994,historical
307032.2090039254,historical
458168.977871009,historical
218180.8363783492,historical
347562.7158809525,historical
177767.66586259915,historical
312814.267674904,historical
198439.1568463617,historical
269773.0672482692,historical
276274.3219654461,historical
263090.1730326205,historical
313713.46809666185,historical
324021.63696609816,historical
312005.5458171674,historical
249563.5965073213,historical
174323.74132991576,historical
332629.4439085791,historical
224650.6283901573,historical
331115.1436844019,historical
288807.1056454457,historical
294928.94911881426,historical
206768.80756086716,historical
349714.67759199254,historical
335375.6093384573,historical
199897.58901106069,historical
303259.94820740644,historical
377247.8936678084,historical
331223.4743104752,historical
290138.1824648085,historical
307272.8548756316,historical
401502.5624094505,historical
317705.046725556,historical
428507.11540075735,historical
235139.7280118501,historical
381224.4746852135,historical
281925.2828882296,historical
273606.2647686196,historical
245959.2716775368,historical
311491.91859752056,historical
221767.50190861785,historical
267198.3045923108,historical
212728.9011841098,historical
238189.95035438525,historical
236325.5524912359,historical
210793.46013066688,historical
396731.0724074575,historical
219696.8160023777,historical
242707.3613608046,historical
294210.59251443256,historical
272567.8307326632,historical
267406.3884038571,historical
461232.6133246911,historical
217138.39292691,historical
245395.52466077585,historical
354382.7467231757,historical
313546.45164713723,historical
